0;;0
1;18;0
2;19;0
3;18,19;0
3;3,-20;1
4;20;0
5;18,20;0
5;3,-19;1
6;19,20;0
6;3,-18;1
7;3;1
8;21;0
9;18,21;0
10;19,21;0
11;18,19,21;0
11;3,-20,21;1
12;20,21;0
13;18,20,21;0
13;3,-19,21;1
14;19,20,21;0
14;3,-18,21;1
15;3,21;1
16;22;0
17;18,22;0
18;19,22;0
19;18,19,22;0
19;3,-20,22;1
20;20,22;0
21;18,20,22;0
21;3,-19,22;1
22;19,20,22;0
22;3,-18,22;1
23;3,22;1
24;14;0
25;14,18;0
26;14,19;0
27;14,18,19;0
27;3,14,-20;1
28;14,20;0
29;14,18,20;0
29;3,14,-19;1
30;14,19,20;0
30;3,14,-18;1
31;3,14;1
32;23;0
33;18,23;0
34;19,23;0
35;18,19,23;0
35;3,-20,23;1
36;20,23;0
37;18,20,23;0
37;3,-19,23;1
38;19,20,23;0
38;3,-18,23;1
39;3,23;1
40;12;0
41;12,18;0
42;12,19;0
43;12,18,19;0
43;3,12,-20;1
44;12,20;0
45;12,18,20;0
45;3,12,-19;1
46;12,19,20;0
46;3,12,-18;1
47;3,12;1
48;22,23;0
49;18,22,23;0
50;19,22,23;0
51;18,19,22,23;0
51;3,-20,22,23;1
52;20,22,23;0
53;18,20,22,23;0
53;3,-19,22,23;1
54;19,20,22,23;0
54;3,-18,22,23;1
55;3,22,23;1
56;14,23;0
56;12,22;0
56;5,-24;2
57;14,18,23;0
57;12,18,22;0
57;5,18,-24;2
58;14,19,23;0
58;12,19,22;0
58;5,19,-24;2
59;14,18,19,23;0
59;12,18,19,22;0
59;5,18,19,-24;2
59;3,14,-20,23;1
59;3,12,-20,22;1
59;3,5,-20,-24;3
59;0,-4,-20,-24;3
60;14,20,23;0
60;12,20,22;0
60;5,20,-24;2
61;14,18,20,23;0
61;12,18,20,22;0
61;5,18,20,-24;2
61;3,14,-19,23;1
61;3,12,-19,22;1
61;3,5,-19,-24;3
61;0,-4,-19,-24;3
62;14,19,20,23;0
62;12,19,20,22;0
62;5,19,20,-24;2
62;3,14,-18,23;1
62;3,12,-18,22;1
62;3,5,-18,-24;3
62;0,-4,-18,-24;3
63;3,14,23;1
